Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,21407.652372029243,,,,
,,,,baseline_eyes_closed_start,1001,21535.706691846903,,,,
,,,,baseline_fixation_start,1002,21680.386549678435,,,,
,,,,baseline_end,1003,21740.38824855986,,,,
1.0,,,,block_start,4001,21750.345114253578,,21750.345114253578,,
1.0,1.0,,,trial_start,10,21750.345264444575,,21750.345114253578,,
1.0,1.0,,,right_cue,101,21752.353336496526,,21750.345114253578,,
1.0,1.0,right,,right_imagery_start,201,21754.368901136484,,21750.345114253578,,
1.0,1.0,right,,rest_start,300,21758.384681077383,,21750.345114253578,,
1.0,1.0,right,,iti_start,400,21760.40103600534,,21750.345114253578,,
1.0,1.0,right,,trial_end,11,21762.667687894413,,21750.345114253578,,
1.0,2.0,,,trial_start,10,21762.667803413413,,21750.345114253578,,
1.0,2.0,,,left_cue,100,21764.68352218537,,21750.345114253578,,
1.0,2.0,left,,left_imagery_start,200,21766.699842533322,,21750.345114253578,,
1.0,2.0,left,,rest_start,300,21770.715599734223,,21750.345114253578,,
1.0,2.0,left,,iti_start,400,21772.732110957182,,21750.345114253578,,
1.0,2.0,left,,trial_end,11,21774.8816826552,,21750.345114253578,,
1.0,3.0,,,trial_start,10,21774.8818143212,,21750.345114253578,,
1.0,3.0,,,left_cue,100,21776.897743455153,,21750.345114253578,,
1.0,3.0,left,,left_imagery_start,200,21778.91405733111,,21750.345114253578,,
1.0,3.0,left,,rest_start,300,21782.92985395301,,21750.345114253578,,
1.0,3.0,left,,iti_start,400,21784.946052754967,,21750.345114253578,,
1.0,3.0,left,,trial_end,11,21786.995810210938,,21750.345114253578,,
1.0,4.0,,,trial_start,10,21786.995903677936,,21750.345114253578,,
1.0,4.0,,,right_cue,101,21789.01215201089,,21750.345114253578,,
1.0,4.0,right,,right_imagery_start,201,21791.028316777847,,21750.345114253578,,
1.0,4.0,right,,rest_start,300,21795.04407885675,,21750.345114253578,,
1.0,4.0,right,,iti_start,400,21797.060639520703,,21750.345114253578,,
1.0,4.0,right,,trial_end,11,21799.110234578675,,21750.345114253578,,
1.0,5.0,,,trial_start,10,21799.110314641675,,21750.345114253578,,
