Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,636.2205841635871,,,,
,,,,baseline_eyes_closed_start,1001,763.065400400479,,,,
,,,,baseline_fixation_start,1002,891.4322246227539,,,,
,,,,baseline_end,1003,951.4325609098395,,,,
1.0,,,,block_start,4001,958.2168410765452,,958.2168410765452,,
1.0,1.0,,,trial_start,10,958.2171238695453,,958.2168410765452,,
1.0,1.0,,,right_cue,101,960.2308889170516,,958.2168410765452,,
1.0,1.0,right,,right_imagery_start,201,962.2470495455585,,958.2168410765452,,
1.0,1.0,right,,rest_start,300,966.2632559865683,,958.2168410765452,,
1.0,1.0,right,,iti_start,400,968.2791879390751,,958.2168410765452,,
1.0,1.0,right,,trial_end,11,970.4121082606114,,958.2168410765452,,
1.0,2.0,,,trial_start,10,970.4121951456113,,958.2168410765452,,
1.0,2.0,,,left_cue,100,972.4122992451144,,958.2168410765452,,
1.0,2.0,left,,left_imagery_start,200,974.428009282621,,958.2168410765452,,
1.0,2.0,left,,rest_start,300,978.4437847416308,,958.2168410765452,,
1.0,2.0,left,,iti_start,400,980.4602070581377,,958.2168410765452,,
1.0,2.0,left,,trial_end,11,982.7263531737076,,958.2168410765452,,
1.0,3.0,,,trial_start,10,982.7264941297076,,958.2168410765452,,
1.0,3.0,,,right_cue,101,984.7426804742145,,958.2168410765452,,
1.0,3.0,right,,right_imagery_start,201,986.7437625867177,,958.2168410765452,,
1.0,3.0,right,,rest_start,300,990.7586290047271,,958.2168410765452,,
1.0,3.0,right,,iti_start,400,992.7743845072339,,958.2168410765452,,
1.0,3.0,right,,trial_end,11,994.9572867717827,,958.2168410765452,,
1.0,4.0,,,trial_start,10,994.9573790117828,,958.2168410765452,,
1.0,4.0,,,right_cue,101,996.9737601002897,,958.2168410765452,,
1.0,4.0,right,,right_imagery_start,201,998.9897350497965,,958.2168410765452,,
1.0,4.0,right,,rest_start,300,1003.0055688558062,,958.2168410765452,,
1.0,4.0,right,,iti_start,400,1005.0218487613132,,958.2168410765452,,
1.0,4.0,right,,trial_end,11,1007.1047652038369,,958.2168410765452,,
1.0,5.0,,,trial_start,10,1007.1048390438368,,958.2168410765452,,
1.0,5.0,,,right_cue,101,1009.1210583883438,,958.2168410765452,,
1.0,5.0,right,,right_imagery_start,201,1011.1373556658508,,958.2168410765452,,
1.0,5.0,right,,rest_start,300,1015.1531914518605,,958.2168410765452,,
1.0,5.0,right,,iti_start,400,1017.1694480123674,,958.2168410765452,,
1.0,5.0,right,,trial_end,11,1019.3192708469079,,958.2168410765452,,
1.0,6.0,,,trial_start,10,1019.319380999908,,958.2168410765452,,
1.0,6.0,,,left_cue,100,1021.3353743944148,,958.2168410765452,,
1.0,6.0,left,,left_imagery_start,200,1023.3515531859217,,958.2168410765452,,
1.0,6.0,left,,rest_start,300,1027.3674588129315,,958.2168410765452,,
1.0,6.0,left,,iti_start,400,1029.3675937694343,,958.2168410765452,,
